config,model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
none,VSM,1,0.500000,0.178571,0.263158,0.214773,1.000000,0.347210,28.000000
none,VSM,2,0.400000,0.166667,0.235294,0.184510,1.000000,0.634342,24.000000
none,VSM,3,0.500000,0.625000,0.555556,0.595038,1.000000,0.699114,8.000000
none,VSM,4,0.100000,0.500000,0.166667,0.590909,1.000000,0.613147,2.000000
none,VSM,5,0.100000,0.250000,0.142857,0.095556,0.125000,0.173612,4.000000
none,VSM,6,0.100000,0.250000,0.142857,0.076693,0.250000,0.110573,4.000000
none,VSM,7,0.200000,0.400000,0.266667,0.138132,0.250000,0.195553,5.000000
none,VSM,8,0.100000,0.090909,0.095238,0.069714,0.142857,0.102015,11.000000
none,VSM,9,0.300000,1.000000,0.461538,0.700000,1.000000,0.852928,3.000000
none,VSM,10,0.200000,0.250000,0.222222,0.095003,0.200000,0.201694,8.000000
none,VSM,11,0.100000,0.142857,0.117647,0.139127,0.500000,0.072014,7.000000
none,VSM,12,0.200000,0.400000,0.266667,0.212488,0.250000,0.184023,5.000000
none,VSM,13,0.000000,0.000000,0.000000,0.003489,0.003861,0.000000,4.000000
none,VSM,14,0.200000,1.000000,0.333333,0.666667,1.000000,0.982424,2.000000
none,VSM,15,0.200000,1.000000,0.333333,0.833333,1.000000,0.621567,2.000000
none,VSM,16,0.100000,0.333333,0.153846,0.187292,0.500000,0.182125,3.000000
none,VSM,17,0.100000,0.500000,0.166667,0.521277,1.000000,0.787155,2.000000
none,VSM,18,0.100000,0.333333,0.153846,0.193518,0.500000,0.296082,3.000000
none,VSM,19,0.100000,0.111111,0.105263,0.032979,0.142857,0.049865,9.000000
none,VSM,20,0.500000,0.555556,0.526316,0.486040,0.500000,0.482546,9.000000
none,VSM,21,0.100000,0.250000,0.142857,0.151641,0.333333,0.309808,4.000000
none,VSM,22,0.000000,0.000000,0.000000,0.001799,0.001799,0.000000,1.000000
none,VSM,23,0.200000,0.062500,0.095238,0.115388,0.500000,0.257983,32.000000
none,VSM,24,0.200000,0.666667,0.307692,0.557860,1.000000,0.812913,3.000000
none,VSM,25,0.400000,0.444444,0.421053,0.469682,1.000000,0.415272,9.000000
none,VSM,26,0.200000,0.333333,0.250000,0.153836,0.250000,0.326236,6.000000
none,VSM,27,0.100000,0.333333,0.153846,0.106164,0.125000,0.212479,3.000000
none,VSM,28,0.000000,0.000000,0.000000,0.001855,0.001838,0.000000,2.000000
none,VSM,29,0.500000,0.555556,0.526316,0.513214,1.000000,0.554754,9.000000
