model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
VSM,1,0.400000,0.142857,0.210526,0.169013,0.333333,0.227722,28.000000
VSM,2,0.400000,0.166667,0.235294,0.253338,1.000000,0.663997,24.000000
VSM,3,0.700000,0.875000,0.777778,0.633000,0.500000,0.735860,8.000000
VSM,4,0.100000,0.500000,0.166667,0.540000,1.000000,0.613147,2.000000
VSM,5,0.300000,0.750000,0.428571,0.284821,0.250000,0.453210,4.000000
VSM,6,0.100000,0.250000,0.142857,0.087258,0.250000,0.110573,4.000000
VSM,7,0.200000,0.400000,0.266667,0.136124,0.250000,0.195553,5.000000
VSM,8,0.100000,0.090909,0.095238,0.101149,0.125000,0.096547,11.000000
VSM,9,0.300000,1.000000,0.461538,0.700000,1.000000,0.852928,3.000000
VSM,10,0.300000,0.375000,0.333333,0.185886,0.500000,0.277470,8.000000
VSM,11,0.100000,0.142857,0.117647,0.117227,0.250000,0.049157,7.000000
VSM,12,0.200000,0.400000,0.266667,0.324427,1.000000,0.502686,5.000000
VSM,13,0.000000,0.000000,0.000000,0.007837,0.004808,0.000000,4.000000
VSM,14,0.200000,1.000000,0.333333,0.750000,1.000000,0.987189,2.000000
VSM,15,0.200000,1.000000,0.333333,0.625000,1.000000,0.457708,2.000000
VSM,16,0.100000,0.333333,0.153846,0.177815,0.500000,0.182125,3.000000
VSM,17,0.100000,0.500000,0.166667,0.513158,1.000000,0.787155,2.000000
VSM,18,0.100000,0.333333,0.153846,0.128412,0.333333,0.234639,3.000000
VSM,19,0.100000,0.111111,0.105263,0.031449,0.100000,0.100899,9.000000
VSM,20,0.500000,0.555556,0.526316,0.495882,0.500000,0.485748,9.000000
VSM,21,0.100000,0.250000,0.142857,0.097197,0.166667,0.102999,4.000000
VSM,22,0.000000,0.000000,0.000000,0.001647,0.001647,0.000000,1.000000
VSM,23,0.400000,0.125000,0.190476,0.221358,0.500000,0.344358,32.000000
VSM,24,0.200000,0.666667,0.307692,0.251156,0.333333,0.480623,3.000000
VSM,25,0.500000,0.555556,0.526316,0.625719,1.000000,0.606639,9.000000
VSM,26,0.200000,0.333333,0.250000,0.119961,0.166667,0.267525,6.000000
VSM,27,0.100000,0.333333,0.153846,0.129713,0.200000,0.260562,3.000000
VSM,28,0.000000,0.000000,0.000000,0.004950,0.004329,0.000000,2.000000
VSM,29,0.500000,0.555556,0.526316,0.540401,1.000000,0.565599,9.000000
VSM,30,0.100000,0.142857,0.117647,0.109228,0.333333,0.186457,7.000000
