k1,b,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
0.500000,0.000000,1,0.400000,0.142857,0.210526,0.142142,0.333333,0.189836,28.000000
0.500000,0.000000,2,0.400000,0.166667,0.235294,0.218941,1.000000,0.545774,24.000000
0.500000,0.000000,3,0.500000,0.625000,0.555556,0.558974,1.000000,0.640482,8.000000
0.500000,0.000000,4,0.100000,0.500000,0.166667,0.268519,0.500000,0.386853,2.000000
0.500000,0.000000,5,0.300000,0.750000,0.428571,0.461932,1.000000,0.496580,4.000000
0.500000,0.000000,6,0.100000,0.250000,0.142857,0.122240,0.333333,0.128372,4.000000
0.500000,0.000000,7,0.200000,0.400000,0.266667,0.106814,0.200000,0.174537,5.000000
0.500000,0.000000,8,0.100000,0.090909,0.095238,0.138045,1.000000,0.306046,11.000000
0.500000,0.000000,9,0.300000,1.000000,0.461538,0.555556,0.500000,0.697882,3.000000
0.500000,0.000000,10,0.100000,0.125000,0.111111,0.110981,0.500000,0.102958,8.000000
0.500000,0.000000,11,0.100000,0.142857,0.117647,0.134462,0.166667,0.121972,7.000000
0.500000,0.000000,12,0.200000,0.400000,0.266667,0.229760,0.500000,0.262219,5.000000
0.500000,0.000000,13,0.000000,0.000000,0.000000,0.007837,0.004808,0.000000,4.000000
0.500000,0.000000,14,0.100000,0.500000,0.166667,0.555556,1.000000,0.959636,2.000000
0.500000,0.000000,15,0.200000,1.000000,0.333333,0.750000,1.000000,0.560011,2.000000
0.500000,0.000000,16,0.100000,0.333333,0.153846,0.109968,0.250000,0.124320,3.000000
0.500000,0.000000,17,0.000000,0.000000,0.000000,0.026452,0.040000,0.000000,2.000000
0.500000,0.000000,18,0.100000,0.333333,0.153846,0.352014,1.000000,0.469279,3.000000
0.500000,0.000000,19,0.100000,0.111111,0.105263,0.054355,0.333333,0.174527,9.000000
0.500000,0.000000,20,0.500000,0.555556,0.526316,0.398131,0.500000,0.509141,9.000000
0.500000,0.000000,21,0.000000,0.000000,0.000000,0.024842,0.031250,0.000000,4.000000
0.500000,0.000000,22,0.000000,0.000000,0.000000,0.001647,0.001647,0.000000,1.000000
0.500000,0.000000,23,0.300000,0.093750,0.142857,0.172304,0.250000,0.212970,32.000000
0.500000,0.000000,24,0.200000,0.666667,0.307692,0.410165,0.500000,0.612898,3.000000
0.500000,0.000000,25,0.600000,0.666667,0.631579,0.687919,1.000000,0.825925,9.000000
0.500000,0.000000,26,0.200000,0.333333,0.250000,0.150159,0.333333,0.367683,6.000000
0.500000,0.000000,27,0.200000,0.666667,0.307692,0.247418,0.500000,0.376823,3.000000
0.500000,0.000000,28,0.000000,0.000000,0.000000,0.003989,0.003003,0.000000,2.000000
0.500000,0.000000,29,0.400000,0.444444,0.421053,0.317365,1.000000,0.300439,9.000000
0.500000,0.000000,30,0.100000,0.142857,0.117647,0.199250,1.000000,0.372915,7.000000
0.500000,0.000000,31,0.000000,0.000000,0.000000,0.000898,0.000898,0.000000,1.000000
0.500000,0.000000,32,0.100000,0.166667,0.125000,0.048335,0.125000,0.025384,6.000000
0.500000,0.000000,33,0.300000,1.000000,0.461538,0.638889,0.500000,0.708996,3.000000
0.500000,0.000000,34,0.200000,0.333333,0.250000,0.219846,0.333333,0.121409,6.000000
0.500000,0.000000,35,0.000000,0.000000,0.000000,0.031921,0.052632,0.000000,3.000000
0.500000,0.000000,36,0.100000,0.500000,0.166667,0.502646,1.000000,0.337352,2.000000
0.500000,0.000000,37,0.000000,0.000000,0.000000,0.052416,0.034483,0.000000,9.000000
0.500000,0.000000,38,0.100000,0.100000,0.100000,0.058766,0.142857,0.086412,10.000000
0.500000,0.000000,39,0.200000,0.153846,0.173913,0.157110,1.000000,0.391960,13.000000
0.500000,0.000000,40,0.200000,0.166667,0.181818,0.135730,0.500000,0.108341,12.000000
0.500000,0.000000,41,0.300000,1.000000,0.461538,0.766667,1.000000,0.849397,3.000000
0.500000,0.000000,42,0.200000,0.400000,0.266667,0.119134,0.111111,0.242431,5.000000
0.500000,0.000000,43,0.200000,0.333333,0.250000,0.441788,1.000000,0.689414,6.000000
0.500000,0.000000,44,0.000000,0.000000,0.000000,0.002488,0.001355,0.000000,3.000000
0.500000,0.000000,45,0.200000,0.166667,0.181818,0.190676,1.000000,0.404902,12.000000
0.500000,0.000000,46,0.500000,0.333333,0.400000,0.400964,1.000000,0.451959,15.000000
0.500000,0.000000,47,0.500000,0.357143,0.416667,0.407590,1.000000,0.532536,14.000000
0.500000,0.000000,48,0.400000,0.363636,0.380952,0.318051,0.500000,0.416879,11.000000
0.500000,0.000000,49,0.000000,0.000000,0.000000,0.030989,0.040000,0.000000,2.000000
0.500000,0.000000,50,0.000000,0.000000,0.000000,0.022664,0.041667,0.000000,6.000000
0.500000,0.000000,51,0.400000,0.400000,0.400000,0.306681,0.500000,0.309264,10.000000
0.500000,0.000000,52,0.200000,0.500000,0.285714,0.209249,0.166667,0.184189,4.000000
0.500000,0.000000,53,0.300000,0.300000,0.300000,0.298148,1.000000,0.330680,10.000000
0.500000,0.000000,54,0.100000,0.111111,0.105263,0.151276,0.333333,0.225363,9.000000
0.500000,0.000000,55,0.100000,0.100000,0.100000,0.145187,0.200000,0.119310,10.000000
0.500000,0.000000,56,0.200000,0.200000,0.200000,0.122016,0.500000,0.132721,10.000000
0.500000,0.000000,57,0.100000,0.071429,0.083333,0.074188,0.100000,0.148056,14.000000
0.500000,0.000000,58,0.100000,0.111111,0.105263,0.079277,0.111111,0.157517,9.000000
0.500000,0.000000,59,0.200000,0.500000,0.285714,0.117724,0.142857,0.166575,4.000000
0.500000,0.000000,60,0.300000,0.600000,0.400000,0.313551,0.500000,0.329502,5.000000
0.500000,0.000000,61,0.200000,0.400000,0.266667,0.386432,1.000000,0.412098,5.000000
0.500000,0.000000,62,0.000000,0.000000,0.000000,0.019149,0.041667,0.000000,5.000000
0.500000,0.000000,63,0.000000,0.000000,0.000000,0.048479,0.032258,0.000000,3.000000
0.500000,0.000000,64,0.100000,0.500000,0.166667,0.514493,1.000000,0.772538,2.000000
0.500000,0.000000,65,0.100000,0.066667,0.080000,0.087054,0.142857,0.091775,15.000000
0.500000,0.000000,66,0.100000,0.200000,0.133333,0.053696,0.125000,0.143681,5.000000
0.500000,0.000000,67,0.100000,0.071429,0.083333,0.134115,0.142857,0.105614,14.000000
0.500000,0.000000,68,0.100000,0.200000,0.133333,0.064724,0.142857,0.181648,5.000000
0.500000,0.000000,69,0.100000,0.200000,0.133333,0.038040,0.100000,0.138636,5.000000
0.500000,0.000000,70,0.100000,0.100000,0.100000,0.099094,0.333333,0.111825,10.000000
0.500000,0.000000,71,0.100000,0.125000,0.111111,0.162810,1.000000,0.389374,8.000000
0.500000,0.000000,72,0.100000,0.058824,0.074074,0.073758,0.333333,0.166872,17.000000
0.500000,0.000000,73,0.700000,0.350000,0.466667,0.385069,1.000000,0.804868,20.000000
0.500000,0.000000,74,0.100000,0.166667,0.125000,0.179333,0.500000,0.313444,6.000000
0.500000,0.000000,75,0.000000,0.000000,0.000000,0.017840,0.025641,0.000000,5.000000
0.500000,0.000000,76,0.200000,0.285714,0.235294,0.125249,0.333333,0.261997,7.000000
0.500000,0.000000,77,0.200000,0.333333,0.250000,0.296282,1.000000,0.166450,6.000000
0.500000,0.000000,78,0.300000,1.000000,0.461538,0.791667,1.000000,0.804683,3.000000
0.500000,0.000000,79,0.000000,0.000000,0.000000,0.032660,0.071429,0.000000,5.000000
0.500000,0.000000,80,0.000000,0.000000,0.000000,0.008039,0.010638,0.000000,4.000000
0.500000,0.000000,81,0.200000,1.000000,0.333333,0.500000,0.500000,0.453657,2.000000
0.500000,0.000000,82,0.100000,0.200000,0.133333,0.114177,0.142857,0.065066,5.000000
0.500000,0.000000,83,0.100000,0.250000,0.142857,0.123758,0.333333,0.195190,4.000000
0.500000,0.000000,84,0.300000,0.272727,0.285714,0.376956,1.000000,0.217713,11.000000
0.500000,0.000000,85,0.100000,0.250000,0.142857,0.135814,0.500000,0.085228,4.000000
0.500000,0.000000,86,0.200000,1.000000,0.333333,0.416667,0.500000,0.605260,2.000000
0.500000,0.000000,87,0.000000,0.000000,0.000000,0.010268,0.015625,0.000000,8.000000
0.500000,0.000000,88,0.600000,1.000000,0.750000,0.621825,0.500000,0.639364,6.000000
0.500000,0.000000,89,0.100000,0.166667,0.125000,0.132007,0.200000,0.082366,6.000000
0.500000,0.000000,90,0.300000,0.230769,0.260870,0.222219,0.500000,0.214889,13.000000
0.500000,0.000000,91,0.400000,0.444444,0.421053,0.351995,1.000000,0.592783,9.000000
0.500000,0.000000,92,0.500000,0.384615,0.434783,0.417705,1.000000,0.175735,13.000000
0.500000,0.000000,93,0.100000,1.000000,0.181818,0.500000,0.500000,0.630930,1.000000
0.500000,0.000000,94,0.400000,0.333333,0.363636,0.518506,1.000000,0.245885,12.000000
0.500000,0.000000,95,0.200000,1.000000,0.333333,0.375000,0.500000,0.343096,2.000000
0.500000,0.000000,96,0.700000,0.538462,0.608696,0.494026,0.500000,0.549513,13.000000
0.500000,0.000000,97,0.300000,0.300000,0.300000,0.206916,0.500000,0.270700,10.000000
0.500000,0.000000,98,0.000000,0.000000,0.000000,0.019476,0.043478,0.000000,5.000000
0.500000,0.000000,99,0.200000,0.500000,0.285714,0.288335,0.500000,0.523013,4.000000
0.500000,0.000000,100,0.300000,0.333333,0.315789,0.256660,0.500000,0.390490,9.000000
0.500000,0.000000,101,0.500000,0.833333,0.625000,0.549457,0.500000,0.599454,6.000000
0.500000,0.000000,102,0.100000,0.250000,0.142857,0.077152,0.100000,0.040623,4.000000
0.500000,0.000000,103,0.100000,0.500000,0.166667,0.084353,0.166667,0.218407,2.000000
0.500000,0.000000,104,0.100000,0.200000,0.133333,0.146861,0.500000,0.213986,5.000000
0.500000,0.000000,105,0.300000,0.600000,0.400000,0.437337,0.500000,0.570575,5.000000
0.500000,0.000000,106,0.300000,0.600000,0.400000,0.291635,0.333333,0.435925,5.000000
0.500000,0.000000,107,0.200000,0.285714,0.235294,0.253880,0.500000,0.314255,7.000000
0.500000,0.000000,108,0.500000,0.714286,0.588235,0.683394,1.000000,0.697057,7.000000
0.500000,0.000000,109,0.000000,0.000000,0.000000,0.033204,0.025641,0.000000,5.000000
0.500000,0.000000,110,0.000000,0.000000,0.000000,0.037327,0.076923,0.000000,4.000000
0.500000,0.000000,111,0.100000,0.142857,0.117647,0.201877,0.333333,0.077170,7.000000
0.500000,0.000000,112,0.100000,0.500000,0.166667,0.312500,0.500000,0.173765,2.000000
0.500000,0.000000,113,0.000000,0.000000,0.000000,0.047054,0.066667,0.000000,4.000000
0.500000,0.000000,114,0.100000,0.250000,0.142857,0.040656,0.111111,0.203320,4.000000
0.500000,0.000000,115,0.100000,0.250000,0.142857,0.043443,0.111111,0.157877,4.000000
0.500000,0.000000,116,0.000000,0.000000,0.000000,0.056815,0.090909,0.000000,5.000000
0.500000,0.000000,117,0.000000,0.000000,0.000000,0.026905,0.025641,0.000000,2.000000
0.500000,0.000000,118,0.200000,0.666667,0.307692,0.200855,0.250000,0.392903,3.000000
0.500000,0.000000,119,0.100000,1.000000,0.181818,0.500000,0.500000,0.630930,1.000000
0.500000,0.000000,120,0.300000,0.333333,0.315789,0.312728,0.500000,0.362573,9.000000
0.500000,0.000000,121,0.500000,0.714286,0.588235,0.463414,0.500000,0.573675,7.000000
0.500000,0.000000,122,0.200000,0.222222,0.210526,0.179759,0.250000,0.037275,9.000000
0.500000,0.000000,123,0.000000,0.000000,0.000000,0.062261,0.055556,0.000000,2.000000
0.500000,0.000000,124,0.000000,0.000000,0.000000,0.003676,0.004292,0.000000,4.000000
0.500000,0.000000,125,0.300000,0.176471,0.222222,0.228599,1.000000,0.401373,17.000000
0.500000,0.000000,126,0.200000,0.250000,0.222222,0.263710,1.000000,0.620999,8.000000
0.500000,0.000000,127,0.200000,0.400000,0.266667,0.129745,0.250000,0.241406,5.000000
0.500000,0.000000,128,0.000000,0.000000,0.000000,0.013818,0.020833,0.000000,2.000000
0.500000,0.000000,129,0.400000,0.571429,0.470588,0.381117,0.500000,0.561491,7.000000
0.500000,0.000000,130,0.200000,0.400000,0.266667,0.383008,1.000000,0.444360,5.000000
0.500000,0.000000,131,0.200000,0.250000,0.222222,0.267023,0.200000,0.081984,8.000000
0.500000,0.000000,132,0.600000,0.400000,0.480000,0.681464,1.000000,0.270921,15.000000
0.500000,0.000000,133,0.300000,0.428571,0.352941,0.405686,1.000000,0.546943,7.000000
0.500000,0.000000,134,0.100000,0.500000,0.166667,0.509524,1.000000,0.337352,2.000000
0.500000,0.000000,135,0.500000,0.625000,0.555556,0.476790,0.500000,0.334981,8.000000
0.500000,0.000000,136,0.200000,0.666667,0.307692,0.224868,0.333333,0.485610,3.000000
0.500000,0.000000,137,0.100000,0.250000,0.142857,0.186930,0.500000,0.161987,4.000000
0.500000,0.000000,138,0.100000,0.500000,0.166667,0.190476,0.333333,0.306574,2.000000
0.500000,0.000000,139,0.000000,0.000000,0.000000,0.008741,0.014706,0.000000,4.000000
0.500000,0.000000,140,0.200000,0.333333,0.250000,0.116031,0.200000,0.351365,6.000000
0.500000,0.000000,141,0.100000,0.166667,0.125000,0.132264,0.333333,0.105397,6.000000
0.500000,0.000000,142,0.000000,0.000000,0.000000,0.058824,0.058824,0.000000,1.000000
0.500000,0.000000,143,0.200000,1.000000,0.333333,0.625000,1.000000,0.806574,2.000000
0.500000,0.000000,144,0.200000,0.333333,0.250000,0.205188,0.200000,0.135614,6.000000
0.500000,0.000000,145,0.100000,0.142857,0.117647,0.127687,0.166667,0.121669,7.000000
0.500000,0.000000,146,0.200000,1.000000,0.333333,0.366667,0.333333,0.432302,2.000000
0.500000,0.000000,147,0.400000,0.400000,0.400000,0.306437,0.500000,0.455290,10.000000
0.500000,0.000000,148,0.200000,0.333333,0.250000,0.161724,0.333333,0.336699,6.000000
0.500000,0.000000,149,0.300000,0.272727,0.285714,0.271648,1.000000,0.362887,11.000000
0.500000,0.000000,150,0.200000,1.000000,0.333333,1.000000,1.000000,1.000000,2.000000
0.500000,0.000000,151,0.000000,0.000000,0.000000,0.021570,0.025000,0.000000,5.000000
0.500000,0.000000,152,0.000000,0.000000,0.000000,0.013277,0.015385,0.000000,6.000000
0.500000,0.000000,153,0.300000,0.428571,0.352941,0.227004,0.500000,0.226811,7.000000
0.500000,0.000000,154,0.200000,1.000000,0.333333,0.611111,1.000000,0.574309,2.000000
0.500000,0.000000,155,0.100000,0.166667,0.125000,0.132632,0.500000,0.079779,6.000000
0.500000,0.000000,156,0.800000,0.571429,0.666667,0.499816,1.000000,0.376897,14.000000
0.500000,0.000000,157,0.200000,0.051282,0.081633,0.242637,1.000000,0.233187,39.000000
0.500000,0.000000,158,0.200000,0.250000,0.222222,0.317774,1.000000,0.604237,8.000000
0.500000,0.000000,159,0.000000,0.000000,0.000000,0.055405,0.090909,0.000000,8.000000
0.500000,0.000000,160,0.100000,0.200000,0.133333,0.219088,1.000000,0.416070,5.000000
0.500000,0.000000,161,0.300000,0.500000,0.375000,0.417010,1.000000,0.784663,6.000000
0.500000,0.000000,162,0.100000,0.125000,0.111111,0.234448,1.000000,0.065830,8.000000
