query_id,num_relevant,AP_b0,AP_b1,top10_overlap,top10_changed,delta_AP,abs_delta_AP
1,28,0.158866,0.226764,6,4,0.067898,0.067898
2,24,0.246384,0.224691,7,3,-0.021693,0.021693
3,8,0.598958,0.667346,8,2,0.068388,0.068388
4,2,0.273810,0.278571,8,2,0.004762,0.004762
5,4,0.489706,0.327201,8,2,-0.162505,0.162505
6,4,0.136818,0.166904,3,7,0.030086,0.030086
7,5,0.127042,0.159608,9,1,0.032566,0.032566
8,11,0.145426,0.119628,5,5,-0.025799,0.025799
9,3,0.476190,0.916667,7,3,0.440476,0.440476
10,8,0.108708,0.268937,6,4,0.160229,0.160229
11,7,0.146399,0.178261,3,7,0.031863,0.031863
12,5,0.211987,0.393354,6,4,0.181368,0.181368
13,4,0.007837,0.007837,9,1,0.000000,0.000000
14,2,0.547619,0.666667,5,5,0.119048,0.119048
15,2,0.750000,1.000000,7,3,0.250000,0.250000
16,3,0.118025,0.200158,7,3,0.082134,0.082134
17,2,0.027636,0.107092,4,6,0.079456,0.079456
18,3,0.352014,0.355216,7,3,0.003202,0.003202
19,9,0.054011,0.046751,5,5,-0.007260,0.007260
20,9,0.410574,0.583677,5,5,0.173103,0.173103
21,4,0.029276,0.062285,7,3,0.033010,0.033010
22,1,0.001647,0.001647,6,4,0.000000,0.000000
23,32,0.186955,0.223658,7,3,0.036703,0.036703
24,3,0.360360,0.303419,8,2,-0.056942,0.056942
25,9,0.711709,0.697012,8,2,-0.014697,0.014697
26,6,0.168946,0.179011,6,4,0.010065,0.010065
27,3,0.157778,0.142526,7,3,-0.015251,0.015251
28,2,0.003765,0.005313,6,4,0.001547,0.001547
29,9,0.284581,0.481607,6,4,0.197026,0.197026
30,7,0.117385,0.065697,8,2,-0.051688,0.051688
31,1,0.000895,0.000946,5,5,0.000051,0.000051
32,6,0.069790,0.158882,6,4,0.089092,0.089092
33,3,0.638889,0.638889,7,3,0.000000,0.000000
34,6,0.311596,0.235431,6,4,-0.076165,0.076165
35,3,0.032518,0.024021,6,4,-0.008497,0.008497
36,2,0.502347,0.502604,5,5,0.000257,0.000257
37,9,0.065483,0.092269,5,5,0.026786,0.026786
38,10,0.055353,0.048164,4,6,-0.007190,0.007190
39,13,0.151758,0.147162,6,4,-0.004596,0.004596
40,12,0.128288,0.094041,7,3,-0.034247,0.034247
41,3,0.777778,0.791667,8,2,0.013889,0.013889
42,5,0.125687,0.182061,8,2,0.056374,0.056374
43,6,0.397764,0.560670,6,4,0.162906,0.162906
44,3,0.002488,0.002488,8,2,0.000000,0.000000
45,12,0.195902,0.160492,6,4,-0.035410,0.035410
46,15,0.444158,0.359001,6,4,-0.085156,0.085156
47,14,0.413322,0.368140,7,3,-0.045181,0.045181
48,11,0.280341,0.190289,7,3,-0.090053,0.090053
49,2,0.024807,0.175000,7,3,0.150193,0.150193
50,6,0.021232,0.186290,5,5,0.165058,0.165058
51,10,0.383428,0.542965,6,4,0.159537,0.159537
52,4,0.241667,0.552778,6,4,0.311111,0.311111
53,10,0.286791,0.270172,6,4,-0.016619,0.016619
54,9,0.161942,0.132096,7,3,-0.029845,0.029845
55,10,0.179975,0.365627,8,2,0.185653,0.185653
56,10,0.136983,0.137438,7,3,0.000456,0.000456
57,14,0.089933,0.078526,7,3,-0.011407,0.011407
58,9,0.091855,0.147469,5,5,0.055614,0.055614
59,4,0.107764,0.331007,4,6,0.223243,0.223243
60,5,0.378236,0.475720,5,5,0.097484,0.097484
61,5,0.494427,0.474125,7,3,-0.020302,0.020302
62,5,0.021602,0.034015,8,2,0.012413,0.012413
63,3,0.053557,0.046796,6,4,-0.006761,0.006761
64,2,0.520833,0.532258,7,3,0.011425,0.011425
65,15,0.089044,0.242983,4,6,0.153939,0.153939
66,5,0.048461,0.141490,6,4,0.093029,0.093029
67,14,0.135599,0.545380,4,6,0.409781,0.409781
68,5,0.073524,0.054876,7,3,-0.018648,0.018648
69,5,0.042893,0.034794,4,6,-0.008099,0.008099
70,10,0.105996,0.073755,6,4,-0.032241,0.032241
71,8,0.170614,0.040879,5,5,-0.129735,0.129735
72,17,0.060478,0.118739,4,6,0.058262,0.058262
73,20,0.376250,0.343853,7,3,-0.032397,0.032397
74,6,0.192928,0.117874,5,5,-0.075054,0.075054
75,5,0.018688,0.032345,6,4,0.013657,0.013657
76,7,0.128479,0.200835,4,6,0.072356,0.072356
77,6,0.330765,0.297157,6,4,-0.033608,0.033608
78,3,0.791667,0.555556,9,1,-0.236111,0.236111
79,5,0.033142,0.059582,4,6,0.026440,0.026440
80,4,0.009073,0.019317,5,5,0.010244,0.010244
81,2,0.666667,0.500000,6,4,-0.166667,0.166667
82,5,0.139911,0.374897,7,3,0.234986,0.234986
83,4,0.139796,0.096246,6,4,-0.043550,0.043550
84,11,0.376010,0.394806,3,7,0.018796,0.018796
85,4,0.135954,0.262168,5,5,0.126213,0.126213
86,2,0.416667,0.583333,7,3,0.166667,0.166667
87,8,0.010271,0.011587,6,4,0.001316,0.001316
88,6,0.594048,0.649603,8,2,0.055556,0.055556
89,6,0.134891,0.172776,5,5,0.037885,0.037885
90,13,0.250347,0.214344,4,6,-0.036003,0.036003
91,9,0.369936,0.328778,6,4,-0.041158,0.041158
92,13,0.459362,0.521802,7,3,0.062440,0.062440
93,1,0.500000,0.500000,7,3,0.000000,0.000000
94,12,0.544481,0.541188,5,5,-0.003294,0.003294
95,2,0.350000,0.309524,7,3,-0.040476,0.040476
96,13,0.526040,0.403182,7,3,-0.122857,0.122857
97,10,0.216623,0.196170,7,3,-0.020454,0.020454
98,5,0.021811,0.025941,6,4,0.004130,0.004130
99,4,0.286549,0.246668,8,2,-0.039881,0.039881
