query_id,operation,version,model,query_tokens,P@10,R@10,AP,NDCG@10
219,sinônimo (troca mínima de uma palavra),original,VSM,7,0.000000,0.000000,0.044594,0.000000
219,sinônimo (troca mínima de uma palavra),original,BM25,7,0.000000,0.000000,0.037425,0.000000
219,sinônimo (troca mínima de uma palavra),modificada,VSM,7,0.100000,0.055556,0.119449,0.126731
219,sinônimo (troca mínima de uma palavra),modificada,BM25,7,0.100000,0.055556,0.093144,0.086508
69,mais específica (acréscimo de termos discriminativos),original,VSM,8,0.000000,0.000000,0.017802,0.000000
69,mais específica (acréscimo de termos discriminativos),original,BM25,8,0.000000,0.000000,0.038683,0.000000
69,mais específica (acréscimo de termos discriminativos),modificada,VSM,8,0.000000,0.000000,0.045617,0.000000
69,mais específica (acréscimo de termos discriminativos),modificada,BM25,8,0.100000,0.200000,0.091635,0.170838
109,mais específica (consulta curta expandida),original,VSM,4,0.000000,0.000000,0.028329,0.000000
109,mais específica (consulta curta expandida),original,BM25,4,0.000000,0.000000,0.037685,0.000000
109,mais específica (consulta curta expandida),modificada,VSM,12,0.000000,0.000000,0.035527,0.000000
109,mais específica (consulta curta expandida),modificada,BM25,12,0.100000,0.200000,0.059949,0.033304
171,mais genérica (remoção de termos pouco informativos),original,VSM,17,0.300000,1.000000,0.305556,0.484871
171,mais genérica (remoção de termos pouco informativos),original,BM25,17,0.300000,1.000000,0.638889,0.657913
171,mais genérica (remoção de termos pouco informativos),modificada,VSM,8,0.300000,1.000000,0.319444,0.485449
171,mais genérica (remoção de termos pouco informativos),modificada,BM25,8,0.300000,1.000000,0.555556,0.613166
15,expansão de vocabulário técnico (sinônimo morfológico),original,VSM,4,0.200000,1.000000,0.625000,0.457708
15,expansão de vocabulário técnico (sinônimo morfológico),original,BM25,4,0.200000,1.000000,1.000000,0.737826
15,expansão de vocabulário técnico (sinônimo morfológico),modificada,VSM,7,0.200000,1.000000,0.583333,0.649031
15,expansão de vocabulário técnico (sinônimo morfológico),modificada,BM25,7,0.200000,1.000000,1.000000,1.000000
