query_id,mean_length_relevant,mean_length_top10_VSM,mean_length_top10_BM25,delta_AP,num_relevant
1,89.071429,79.800000,82.000000,0.057296,28
2,96.083333,66.200000,106.200000,-0.017062,24
3,54.000000,56.800000,64.100000,0.022937,8
4,97.500000,81.100000,106.500000,-0.261429,2
5,132.000000,115.300000,111.000000,0.042743,4
6,106.750000,95.700000,112.800000,0.083627,4
7,90.600000,108.700000,124.900000,0.020471,5
8,95.545455,82.500000,101.700000,0.059856,11
9,54.666667,69.400000,75.200000,0.105556,3
10,52.375000,76.800000,87.600000,-0.023806,8
11,117.285714,87.800000,90.400000,0.069151,7
12,66.600000,74.900000,100.800000,-0.072705,5
13,73.250000,79.700000,85.100000,0.000000,4
14,68.500000,69.800000,118.300000,-0.138889,2
15,73.500000,74.400000,88.900000,0.375000,2
16,88.000000,78.300000,98.900000,0.022839,3
17,64.000000,85.000000,78.700000,-0.434483,2
18,133.000000,91.300000,124.500000,0.227487,3
19,95.555556,102.200000,115.200000,0.023685,9
20,75.111111,65.800000,72.100000,0.079496,9
21,70.750000,67.700000,89.900000,-0.047378,4
22,65.000000,85.200000,97.100000,0.000000,1
23,95.687500,91.200000,125.400000,-0.004508,32
24,96.666667,89.500000,89.800000,0.109955,3
25,120.444444,98.300000,114.100000,0.078016,9
26,86.333333,73.400000,80.800000,0.113203,6
27,71.666667,50.100000,64.800000,0.018098,3
28,52.000000,64.700000,93.000000,-0.000081,2
29,85.888889,69.100000,83.500000,-0.099745,9
30,96.714286,99.300000,113.300000,-0.034963,7
31,36.000000,91.800000,95.400000,-0.000073,1
32,64.166667,63.300000,77.200000,0.052380,6
33,99.333333,81.700000,93.500000,0.301587,3
34,95.500000,70.400000,85.200000,0.093499,6
35,116.666667,73.500000,96.000000,-0.003583,3
36,107.500000,81.500000,109.700000,0.438166,2
37,112.222222,74.700000,124.200000,0.003756,9
38,118.700000,82.900000,126.800000,0.012438,10
39,106.538462,128.800000,129.200000,-0.011835,13
40,130.666667,117.500000,137.500000,0.058245,12
41,163.000000,126.000000,136.800000,0.013889,3
42,67.000000,60.300000,88.200000,0.043809,5
43,70.666667,70.500000,77.800000,0.050032,6
44,52.000000,68.900000,88.900000,0.000000,3
45,122.250000,82.000000,100.300000,-0.013167,12
46,130.866667,85.500000,94.500000,0.079775,15
47,120.857143,87.700000,86.400000,0.063392,14
48,145.090909,96.800000,129.800000,0.013824,11
49,29.000000,76.000000,90.400000,-0.190000,2
50,88.333333,84.600000,114.600000,0.006005,6
51,100.300000,88.400000,119.100000,0.182764,10
52,53.750000,66.800000,74.800000,-0.013889,4
53,83.100000,58.600000,64.800000,-0.028028,10
54,143.333333,101.700000,119.700000,0.031108,9
55,72.400000,82.600000,113.200000,0.192178,10
56,109.600000,102.900000,130.700000,0.061315,10
57,112.071429,75.200000,100.100000,0.016217,14
58,86.444444,78.600000,84.000000,0.031294,9
59,99.250000,75.000000,86.700000,0.261987,4
60,64.400000,89.500000,79.900000,-0.109726,5
61,114.800000,99.500000,103.500000,0.089878,5
62,73.600000,101.500000,102.700000,0.006777,5
63,113.333333,64.200000,99.900000,0.020704,3
64,76.500000,108.400000,125.900000,-0.091667,2
65,56.866667,51.900000,68.700000,-0.151316,15
66,77.400000,87.600000,130.500000,-0.000708,5
67,56.928571,53.100000,79.300000,-0.045466,14
68,148.600000,96.400000,140.700000,-0.002955,5
69,106.800000,56.600000,115.400000,0.020881,5
70,112.600000,67.900000,115.500000,0.043934,10
71,170.250000,70.700000,88.600000,0.015536,8
72,95.588235,101.800000,149.300000,0.017395,17
73,127.300000,119.900000,134.100000,0.019858,20
74,137.666667,77.800000,121.400000,0.061388,6
75,67.200000,70.200000,102.400000,-0.036722,5
76,119.428571,73.000000,112.200000,0.014140,7
77,135.833333,138.000000,129.400000,0.006731,6
78,121.000000,81.300000,94.500000,0.133333,3
79,75.000000,68.100000,114.200000,-0.006559,5
80,44.500000,55.000000,93.600000,0.002759,4
81,95.000000,63.600000,85.800000,0.483333,2
82,99.000000,103.100000,97.600000,-0.069190,5
83,103.000000,63.500000,93.500000,-0.000553,4
84,121.363636,83.300000,111.300000,0.098570,11
85,112.500000,112.500000,132.500000,0.001097,4
86,80.500000,102.700000,94.500000,0.208333,2
87,89.750000,55.600000,142.200000,0.000202,8
88,73.333333,81.400000,90.000000,-0.192063,6
89,106.166667,87.300000,105.100000,0.046128,6
90,111.076923,72.700000,112.900000,0.068562,13
91,123.111111,81.600000,96.400000,0.180595,9
92,94.769231,95.700000,91.700000,-0.061494,13
93,68.000000,97.000000,95.700000,0.000000,1
94,112.583333,93.400000,99.600000,0.048856,12
95,156.000000,93.300000,123.400000,0.205357,2
96,119.307692,84.100000,98.500000,0.095748,13
97,100.100000,75.800000,103.700000,0.010482,10
98,102.200000,112.400000,173.300000,0.007431,5
99,111.500000,87.100000,97.100000,0.006349,4
100,101.222222,83.600000,99.100000,0.044809,9
101,89.166667,99.600000,110.200000,0.143188,6
102,49.750000,85.800000,100.600000,-0.086021,4
103,148.000000,53.400000,60.000000,-0.007937,2
104,68.800000,89.100000,101.100000,-0.035407,5
105,93.600000,57.500000,75.100000,-0.017239,5
106,95.600000,59.800000,91.100000,0.185884,5
107,67.000000,84.100000,91.500000,-0.029744,7
108,78.000000,64.600000,85.000000,-0.068677,7
109,82.600000,65.000000,82.400000,0.009355,5
110,38.500000,62.600000,90.500000,-0.122528,4
111,79.428571,82.400000,99.300000,-0.061028,7
